"Код";"Наименование";"Наличие";"Цена";"Полное описание";"Категория";"Фотография";"Производитель";"Название";"Артикул";"Гарантия";"Ресурс при 5% заполнении";"Тип";"Цвет печати";"Совместимость";"Категория";"Технология печати";"Для бренда";"Фасовка";"Тип чернил";"Штук в упаковке";"Размер";"Формат";"Плотность";"Белизна";"Тип фотобумаги";"Количество картриджей"
00000000597;Картридж Xerox 106R01374 (О) (5000 стр.);Нет;;;Картриджи;193948af-810c-11de-9d6a-001966c0e0d0;Xerox;;;От производителя;5000 стр.;Оригинальный;Черный (для монохромных устройств);Для Xerox Phaser 3250D/3250DN;Картриджи;Лазерная;;;;;;;;;;
00000000686;Тонер-картридж Xerox 006R01179 (O) (11000 стр.);Да;2 200;;Картриджи;23160918-85bb-11de-9d6f-001966c0e0d0;Xerox;;;От производителя;11000 стр.;Оригинальный;Черный (для монохромных устройств);Для Xerox WC С118/M118/M118i;Картриджи;Лазерная;;;;;;;;;;
00000000934;Тонер-картридж Xerox 006R01182 (О) (30000 стр.);Да;4 450;;Картриджи;a27f9e0e-97b3-11de-9e37-00804842e01d;Xerox;;;От производителя;30000 стр.;Оригинальный;Черный (для монохромных устройств);Для Xerox WC M118/C118 // Xerox WC Pro 123/128/133;Картриджи;Лазерная;;;;;;;;;;
00000001077;Картридж Xerox 106R01378 (O) (3000 стр.);Нет;3 820;;Картриджи;0367ea9a-9ed2-11de-9e3e-00804842e01d;Xerox;;;От производителя;3000 стр.;Оригинальный;Черный (для монохромных устройств);Для Xerox 3100MFP/S;Картриджи;Лазерная;;;;;;;;;;
00000001174;Картридж Xerox 109R00748 (О) (3000 стр.);Нет;;;Картриджи;360720e6-b963-11de-9e5c-00804842e01d;Xerox;;;От производителя;3000 стр.;Оригинальный;Черный (для монохромных устройств);Для Xerox Phaser 3116;Картриджи;Лазерная;;;;;;;;;;
00000001205;Картридж Xerox 013R00625 (O) (3000 стр.);Нет;;;Картриджи;5fe95211-be18-11de-9db8-001966c0e0d0;Xerox;;;От производителя;3000 стр.;Оригинальный;Черный (для монохромных устройств);Для Xerox WC 3119;Картриджи;Лазерная;;;;;;;;;;
00000001326;Картридж Xerox 113R00730 (О) (3000 стр.);Нет;2 840;;Картриджи;b48d9958-e4c5-11de-9e85-00804842e01d;Xerox;;;От производителя;3000 стр.;Оригинальный;Черный (для монохромных устройств);Для Xerox Phaser 3200MFP;Картриджи;Лазерная;;;;;;;;;;
00000001462;Тонер-картридж Xerox 006R01278 (О) (8000 стр.);Нет;;;Картриджи;7d44455c-0fc8-11df-9eb0-00804842e01d;Xerox;;;От производителя;8000 стр.;Оригинальный;Черный (для монохромных устройств);Для Xerox WC 4118p/4118x;Картриджи;Лазерная;;;;;;;;;;
00000001547;Картридж Xerox 109R00725 (О) (3000 стр.);Нет;;;Картриджи;56b69dbd-252d-11df-9aa0-f8768dbe84e1;Xerox;;;От производителя;3000 стр.;Оригинальный;Черный (для монохромных устройств);Для Xerox Phaser 3120/3121/3130;Картриджи;Лазерная;;;;;;;;;;
00000001562;Картридж Xerox 106R01373 (О) (3500 стр.);Нет;;;Картриджи;2dc7b0bd-2c27-11df-9aa8-99eb97b523be;Xerox;;;От производителя;3500 стр.;Оригинальный;Черный (для монохромных устройств);Для Xerox Phaser 3250D/3250DN;Картриджи;Лазерная;;;;;;;;;;
00000001636;Картридж Xerox 108R00909 (О) (2500 стр.);Нет;2 610;;Картриджи;3c81d693-3afa-11df-9abc-ecb78e5b68ce;Xerox;;;От производителя;2500 стр.;Оригинальный;Черный (для монохромных устройств);Для Xerox Phaser 3140/3155/3160;Картриджи;Лазерная;;;;;;;;;;
00000001744;Картридж Xerox 108R00908 (О) (1500 стр.);Нет;;;Картриджи;afef625e-582f-11df-9ae6-c2c0487a422a;Xerox;;;От производителя;1500 стр.;Оригинальный;Черный (для монохромных устройств);Для Xerox Phaser 3140/3155/3160;Картриджи;Лазерная;;;;;;;;;;
00000001818;Тонер-картридж Xerox 006R01044 (О) (2 шт. по 6000 стр.);Нет;;;Картриджи;78039ae6-6a5f-11df-a707-001966c0e0d0;Xerox;;;От производителя;2 шт. по 6000 стр.;Оригинальный;Черный (для монохромных устройств);Для Xerox WC 415/420 // Xerox WC Pro 315/320/420;Картриджи;Лазерная;;;;;;;;;;
00000001832;Картридж Xerox 106R01487 (О) (4100 стр.);Нет;3 820;;Картриджи;b968c14d-6e0b-11df-9afd-a4c4b16cb094;Xerox;;;От производителя;4100 стр.;Оригинальный;Черный (для монохромных устройств);Для Xerox WC 3210/3220;Картриджи;Лазерная;;;;;;;;;;
00000001954;Тонер-картридж Xerox 106R00586 (O) (6000 стр.);Нет;;;Картриджи;a6d779bb-738e-11df-9b01-e7d61b39d2ef;Xerox;;;От производителя;6000 стр.;Оригинальный;Черный (для монохромных устройств);Для Xerox WorkCentre M15/M15i/312/Pro 412;Картриджи;Лазерная;;;;;;;;;;
00000002341;Картридж Xerox 106R01245 (O) (4000 стр.);Нет;4 820;;Картриджи;5f44459f-befc-11df-9b55-cd2db4a8b5b7;Xerox;;;От производителя;4000 стр.;Оригинальный;Черный (для монохромных устройств);Для Xerox Phaser 3228D/3428DN;Картриджи;Лазерная;;;;;;;;;;
00000002372;Картридж Xerox 106R01411 (O) (4000 стр.);Нет;;;Картриджи;cccb0a80-cac9-11df-9b63-f9a9f136c6b3;Xerox;;;От производителя;4000 стр.;Оригинальный;Черный (для монохромных устройств);Для Xerox Phaser 3300MFP;Картриджи;Лазерная;;;;;;;;;;
00000002389;Картридж Xerox 106R01379 (O) (6000 стр.);Нет;;;Картриджи;695d6e20-d113-11df-9b6a-84657c757306;Xerox;;;От производителя;6000 стр.;Оригинальный;Черный (для монохромных устройств);Для Xerox 3100MFP/S;Картриджи;Лазерная;;;;;;;;;;
00000002642;Тонер-картридж Xerox 106R01277 (O) (2 шт. по 6300 стр.);Да;1 160;;Картриджи;24cc7474-294a-11e0-a7ef-001966c0e0d0;Xerox;;;От производителя;2 шт. по 6300 стр.;Оригинальный;Черный (для монохромных устройств);Для Xerox WC 5016/5020;Картриджи;Лазерная;;;;;;;;;;
00000002757;Картридж Xerox 106R01412 (O) (8000 стр.);Нет;6 670;;Картриджи;8a143e3e-5b74-11e0-a817-001966c0e0d0;Xerox;;;От производителя;8000 стр.;Оригинальный;Черный (для монохромных устройств);Для Xerox Phaser 3300MFP;Картриджи;Лазерная;;;;;;;;;;
00000002760;Тонер-картридж Xerox 106R01294 (O) (35000стр.);Нет;;;Картриджи;51f59aca-5f63-11e0-90b7-90e6ba527f86;Xerox;;;От производителя;35000 стр.;Оригинальный;Черный (для монохромных устройств);Для Xerox Phaser 5550;Картриджи;Лазерная;;;;;;;;;;
00000003276;Картридж Xerox 013R00607 (O) (3000 стр.);Нет;;;Картриджи;912885e3-0b84-11e1-9a6e-001e67062bc8;Xerox;;;От производителя;3000 стр.;Оригинальный;Черный (для монохромных устройств);Для Xerox WC PE114e;Картриджи;Лазерная;;;;;;;;;;
00000003299;Тонер-картридж Xerox 106R01048 (O) (8000стр.);Да;4 460;;Картриджи;943f33a6-15a3-11e1-9a6e-001e67062bc8;Xerox;;;От производителя;8000 стр.;Оригинальный;Черный (для монохромных устройств);Для Xerox WC M20/20i;Картриджи;Лазерная;;;;;;;;;;
00000003519;Тонер-картридж Xerox 006R01020 (O) (6000 стр.);Нет;2 540;;Картриджи;e1b5a6ea-471d-11e1-9a6e-001e67062bc8;Xerox;;;От производителя;6000 стр.;Оригинальный;Черный (для монохромных устройств);Для Xerox 5915/5921;Картриджи;Лазерная;;;;;;;;;;
00000003699;Картридж Xerox 106R01531 (O) (11000 стр.);Нет;7 380;;Картриджи;a94b16e1-62a4-11e1-9a6e-001e67062bc9;Xerox;;;От производителя;11000 стр.;Оригинальный;Черный (для монохромных устройств);Для Xerox WC 3550;Картриджи;Лазерная;;;;;;;;;;
00000003832;Тонер-картридж Xerox 106R02181 (O) (1000 стр.);Да;1 160;;Картриджи;d6d77a88-8557-11e1-9a6e-001e67062bc9;Xerox;;;От производителя;1000 стр.;Оригинальный;Черный (для монохромных устройств);Для Xerox Phaser 3010/3040 // Xerox WC 3045B/3045NI;Картриджи;Лазерная;;;;;;;;;;
00000003833;Тонер-картридж Xerox 106R02183 (O) (2300 стр.);Да;2 140;;Картриджи;d6d77a95-8557-11e1-9a6e-001e67062bc9;Xerox;;;От производителя;2300 стр.;Оригинальный;Черный (для монохромных устройств);Для Xerox Phaser 3010/3040 // Xerox WC 3045B/3045NI;Картриджи;Лазерная;;;;;;;;;;
00000004106;Картридж Xerox 109R00747 (О) (5000 стр.);Нет;6 130;;Картриджи;5d0641af-e6d9-11e1-8c66-001e67062bc8;Xerox;;;От производителя;5000 стр.;Оригинальный;Черный (для монохромных устройств);Для Xerox Phaser 3150;Картриджи;Лазерная;;;;;;;;;;
00000004146;Картридж Xerox 106R01305 (O) (30000 стр.);Нет;4 210;;Картриджи;cfc0989c-016a-11e2-8c66-001e67062bc8;Xerox;;;От производителя;30000 стр.;Оригинальный;Черный (для монохромных устройств);Для Xerox WC5225/5230;Картриджи;Лазерная;;;;;;;;;;
00000004185;Картридж Xerox 109R00746 (O) (3500 стр.);Нет;5 390;;Картриджи;079541a2-18ff-11e2-8c66-001e67062bc8;Xerox;;;От производителя;3500 стр.;Оригинальный;Черный (для монохромных устройств);Для Xerox Phaser 3150;Картриджи;Лазерная;;;;;;;;;;
00000005111;Тонер-картридж Xerox 113R00619 (O) (28800 стр.);Нет;;;Картриджи;78c0a362-fd9e-11e2-ac7d-001e67062bc8;Xerox;;;От производителя;28800 стр.;Оригинальный;Черный (для монохромных устройств);Для Xerox DC423/428 WC Pro 423/428;Картриджи;Лазерная;;;;;;;;;;
00000005127;Картридж Xerox 006R01573 (О) (9000 стр.);Нет;;;Картриджи;59a663b4-00d6-11e3-a58a-001e67062bc8;Xerox;;;От производителя;9000 стр.;Оригинальный;Черный (для монохромных устройств);Для Xerox WC 5019/5021;Картриджи;Лазерная;;;;;;;;;;
00000005128;Тонер-картридж Xerox 006R01573 (О) (9000 стр.);Нет;;;Картриджи;59a663b6-00d6-11e3-a58a-001e67062bc8;Xerox;;;От производителя;9000 стр.;Оригинальный;Черный (для монохромных устройств);Для Xerox WC 5019/5021;Картриджи;Лазерная;;;;;;;;;;
00000005858;Тонер-картридж Xerox 113R00737 (О) (10000 стр.);Нет;6 390;;Картриджи;;;;;;;;;;;;;;;;;;;;;
00000000653;Тонер-картридж Xerox 006R01122 Black (O) (26000 стр.);Нет;;;Картриджи;d582526b-857d-11de-9d6f-001966c0e0d0;Xerox;;;От производителя;26000 стр.;Оригинальный;Черный (для цветных устройств);;Картриджи;Лазерная;;;;;;;;;;
00000003467;Струйный картридж HP C9351AE №21 Black (O);Нет;570;;Картриджи;;Hewlett-Packard (HP);;;От производителя;150 стр.;Оригинальный;Черный (для монохромных устройств);;Картриджи;Струйная;;;;;;;;;;
00000003468;Струйный картридж HP C9363HE №134 Color (O);Да;1 260;;Картриджи;;Hewlett-Packard (HP);;;От производителя;;Оригинальный;Трехцветный картридж (Color);;Картриджи;Струйная;;;;;;;;;;
00000003469;Струйный картридж HP CC640HE №121 Black (O);Нет;590;;Картриджи;;Hewlett-Packard (HP);;;От производителя;200 стр.;Оригинальный;Черный (для цветных устройств);;Картриджи;Струйная;;;;;;;;;;
00000003470;Струйный картридж HP 51645AE №45 Black (O);Нет;1 260;;Картриджи;;Hewlett-Packard (HP);;;От производителя;830 стр.;Оригинальный;Черный (для цветных устройств);Для HP Color Copier 110/290 // HP DesignJet 700/820/930/1100/6122/9300 // HP FAX 1220 // HP OfficeJet G55/K60/R45/T45 // HP OfficeJet Pro 1150;Картриджи;Струйная;;;;;;;;;;
00000003471;Струйный картридж HP C6657AE №57 Color (O);Да;1 160;;Картриджи;;Hewlett-Packard (HP);;;От производителя;500 стр.;Оригинальный;Трехцветный картридж (Color);Для HP DeskJet 450/5145/9650/9670/9680 // HP Digital Copier 410 // HP OfficeJet 4105/4110/5515/5605/6110 // HP PhotoSmart 7150 // HP PSC 1100;Картриджи;Струйная;;;;;;;;;;
00000003618;Струйный картридж HP C6656AE №56 Black (O);Нет;690;;Картриджи;;Hewlett-Packard (HP);;;От производителя;520 стр.;Оригинальный;Черный (для цветных устройств);Для HP DeskJet 450/5145/9650/9670/9680 // HP Digital Copier 410 // HP OfficeJet 4105/4110/5515/5605/6110 // HP PhotoSmart 7150 // HP PSC 1100;Картриджи;Струйная;;;;;;;;;;
00000003747;Струйный картридж HP C4906AE №940XL Black (O);Нет;1 170;;Картриджи;;Hewlett-Packard (HP);;;От производителя;2200 стр.;Оригинальный;Черный (для цветных устройств);Для HP OfficeJet Pro 8000/8500;Картриджи;Струйная;;;;;;;;;;
00000003769;Струйный картридж HP C6578AE №78 Color (O);Нет;2 500;;Картриджи;;Hewlett-Packard (HP);;;От производителя;2700 стр.;Оригинальный;Трехцветный картридж (Color);Для HP Color Copier 290 // HP DeskJet /920/930/995/1180/1220/1280/6122/9300 // HP FAX-1220/1230 // HP OfficeJet 5105/G55/G85/G95 // HP PhotoSmart 1000;Картриджи;Струйная;;;;;;;;;;
00000003770;Струйный картридж HP C4844AE №10 Black (O);Да;1 450;;Картриджи;;Hewlett-Packard (HP);;;От производителя;1400 стр.;Оригинальный;Черный (для цветных устройств);Для HP Business InkJet 1000 // HP DesignJet 110/500/800/815/820 // HP DesignJet ColorPro CAD/GA // HP OfficeJet 9110/9130 // HP OfficeJet Pro K850;Картриджи;Струйная;;;;;;;;;;
00000003791;Струйный картридж HP C8765HE №131 Black (O);Нет;850;;Картриджи;;Hewlett-Packard (HP);;;От производителя;;Оригинальный;Черный (для цветных устройств);;Картриджи;Струйная;;;;;;;;;;
00000003941;Струйный картридж HP C4909AE №940XL Yellow (O);Нет;860;;Картриджи;;Hewlett-Packard (HP);;;От производителя;1400 стр.;Оригинальный;Желтый (Yellow);Для HP OfficeJet Pro 8000/8500;Картриджи;Струйная;;;;;;;;;;
00000003942;Струйный картридж HP C4907AE №940XL Cyan (O);Нет;860;;Картриджи;;Hewlett-Packard (HP);;;От производителя;1400 стр.;Оригинальный;Голубой (Cyan);Для HP OfficeJet Pro 8000/8500;Картриджи;Струйная;;;;;;;;;;
00000003943;Струйный картридж HP C4908AE №940XL Magenta (O);Нет;860;;Картриджи;;Hewlett-Packard (HP);;;От производителя;1400 стр.;Оригинальный;Пурпурный (Magenta);Для HP OfficeJet Pro 8000/8500;Картриджи;Струйная;;;;;;;;;;
00000004175;Струйный картридж HP C9392AE №88XL Magenta (O);Нет;970;;Картриджи;;Hewlett-Packard (HP);;;От производителя;1200 стр.;Оригинальный;Пурпурный (Magenta);Для HP OfficeJet Pro K550/K5400/K8600/L7400/L7480/L7580/L7590/L7680/L7780;Картриджи;Струйная;;;;;;;;;;
00000004176;Струйный картридж HP C9391AE №88XL Cyan (O);Нет;970;;Картриджи;;Hewlett-Packard (HP);;;От производителя;1200 стр.;Оригинальный;Голубой (Cyan);Для HP OfficeJet Pro K550/K5400/K8600/L7400/L7480/L7580/L7590/L7680/L7780;Картриджи;Струйная;;;;;;;;;;
00000004177;Струйный картридж HP C9396AE №88XL Black (O);Нет;1 350;;Картриджи;;Hewlett-Packard (HP);;;От производителя;2300 стр.;Оригинальный;Черный (для цветных устройств);Для HP OfficeJet Pro K550/K5400/K8600/L7400/L7480/L7580/L7590/L7680/L7780;Картриджи;Струйная;;;;;;;;;;
00000004182;Струйный картридж HP C9393AE №88XL Yellow (O);Нет;970;;Картриджи;;Hewlett-Packard (HP);;;От производителя;1200 стр.;Оригинальный;Желтый (Yellow);Для HP OfficeJet Pro K550/K5400/K8600/L7400/L7480/L7580/L7590/L7680/L7780;Картриджи;Струйная;;;;;;;;;;
00000004562;Струйный картридж HP CD975AE №920XL Black (O);Нет;1 160;;Картриджи;;Hewlett-Packard (HP);;;От производителя;700 стр.;Оригинальный;Черный (для цветных устройств);Для HP OfficeJet 6000/6500/7000/7500;Картриджи;Струйная;;;;;;;;;;
00000004569;Струйный картридж HP CC643HE №121 Color (O);Нет;690;;Картриджи;;Hewlett-Packard (HP);;;От производителя;160 стр.;Оригинальный;Трехцветный картридж (Color);;Картриджи;Струйная;;;;;;;;;;
00000004574;Струйный картридж HP CH563HE №122XL Black (O);Нет;1 200;;Картриджи;;Hewlett-Packard (HP);;;От производителя;480 стр.;Оригинальный;Черный (для цветных устройств);Для HP DeskJet 1000/1050/2000/2050/3000/3050;Картриджи;Струйная;;;;;;;;;;
00000004575;Струйный картридж HP CH564HE №122XL Color (O);Нет;1 150;;Картриджи;;Hewlett-Packard (HP);;;От производителя;330 стр.;Оригинальный;Трехцветный картридж (Color);Для HP DeskJet 1000/1050/2000/2050/3000/3050;Картриджи;Струйная;;;;;;;;;;
00000004601;Струйный картридж HP C9364HE №129 Black (O);Нет;830;;Картриджи;;Hewlett-Packard (HP);;;От производителя;400 стр.;Оригинальный;Черный (для цветных устройств);Для HP DeskJet 5943/6943/6983/D4163 // HP OfficeJet 6313/6315/H470/K7103 // HP PhotoSmart 2573/2575/8049/8050/8053/8753/C4183/D5063/D5145/D5155/D5160;Картриджи;Струйная;;;;;;;;;;
00000004797;Струйный картридж HP CB338HE №141XL Color (О);Да;1 450;;Картриджи;;Hewlett-Packard (HP);;;От производителя;;Оригинальный;Трехцветный картридж (Color);;Картриджи;Струйная;;;;;;;;;;
00000004798;Струйный картридж HP CB336HE №140XL Black (О);Да;1 280;;Картриджи;;Hewlett-Packard (HP);;;От производителя;;Оригинальный;Черный (для цветных устройств);;Картриджи;Струйная;;;;;;;;;;
00000004811;Струйный картридж HP CD972AE №920XL Cyan (O);Нет;500;;Картриджи;;Hewlett-Packard (HP);;;От производителя;700 стр.;Оригинальный;Голубой (Cyan);Для HP OfficeJet 6000/6500/7000/7500;Картриджи;Струйная;;;;;;;;;;
00000004812;Струйный картридж HP CD973AE №920XL Magenta (O);Нет;500;;Картриджи;;Hewlett-Packard (HP);;;От производителя;700 стр.;Оригинальный;Пурпурный (Magenta);Для HP OfficeJet 6000/6500/7000/7500;Картриджи;Струйная;;;;;;;;;;
00000004813;Струйный картридж HP CD974AE №920XL Yellow (O);Нет;500;;Картриджи;;Hewlett-Packard (HP);;;От производителя;700 стр.;Оригинальный;Желтый (Yellow);Для HP OfficeJet 6000/6500/7000/7500;Картриджи;Струйная;;;;;;;;;;
00000004824;Струйный картридж HP C4911AE №82 Cyan (O);Да;1 620;;Картриджи;;Hewlett-Packard (HP);;;От производителя;;Оригинальный;Голубой (Cyan);Для HP DesignJet 500/510/800/815/820;Картриджи;Струйная;;;;;;;;;;
00000004825;Струйный картридж HP C4912AE №82 Magenta (O);Да;1 620;;Картриджи;;Hewlett-Packard (HP);;;От производителя;;Оригинальный;Пурпурный (Magenta);Для HP DesignJet 500/510/800/815/820;Картриджи;Струйная;;;;;;;;;;
00000004826;Струйный картридж HP C4913AE №82 Yellow (O);Да;1 620;;Картриджи;;Hewlett-Packard (HP);;;От производителя;;Оригинальный;Желтый (Yellow);Для HP DesignJet 500/510/800/815/820;Картриджи;Струйная;;;;;;;;;;
00000004851;Струйный картридж HP C9370A №72 Photo Black (O);Да;2 560;;Картриджи;;Hewlett-Packard (HP);;;От производителя;;Оригинальный;Черный (для цветных устройств);Для HP DesignJet T610/T620/T770/T1100/T1120/T1200/T2300;Картриджи;Струйная;;;;;;;;;;
00000004852;Струйный картридж HP C9371A №72 Cyan (O);Нет;2 560;;Картриджи;;Hewlett-Packard (HP);;;От производителя;;Оригинальный;Голубой (Cyan);Для HP DesignJet T610/T620/T770/T1100/T1120/T1200/T2300;Картриджи;Струйная;;;;;;;;;;
00000004853;Струйный картридж HP C9372A №72 Magenta (O);Нет;2 560;;Картриджи;;Hewlett-Packard (HP);;;От производителя;;Оригинальный;Пурпурный (Magenta);;Картриджи;Струйная;;;;;;;;;;
00000004854;Струйный картридж HP C9373A №72 Yellow (O);Нет;2 560;;Картриджи;;Hewlett-Packard (HP);;;От производителя;;Оригинальный;Желтый (Yellow);;Картриджи;Струйная;;;;;;;;;;
00000004855;Струйный картридж HP C9374A №72 Grey (O);Нет;2 560;;Картриджи;;Hewlett-Packard (HP);;;От производителя;;Оригинальный;Серый (Grey);Для HP DesignJet T610/T620/T770/T1100/T1120/T1200/T2300;Картриджи;Струйная;;;;;;;;;;
00000004959;Струйный картридж HP C9425A №85 Cyan (O);Нет;1 490;;Картриджи;;Hewlett-Packard (HP);;;От производителя;;Оригинальный;Голубой (Cyan);Для HP DesignJet 30/90/130;Картриджи;Струйная;;;;;;;;;;
00000004960;Струйный картридж HP C9426A №85 Magenta (O);Нет;1 490;;Картриджи;;Hewlett-Packard (HP);;;От производителя;;Оригинальный;Пурпурный (Magenta);Для HP DesignJet 30/90/130;Картриджи;Струйная;;;;;;;;;;
00000004962;Струйный картридж HP C9429A №85 Light Magenta (O);Нет;1 640;;Картриджи;;Hewlett-Packard (HP);;;От производителя;;Оригинальный;Светло-пурпурный (Light-Magenta);Для HP DesignJet 30/90/130;Картриджи;Струйная;;;;;;;;;;
00000004980;Струйный картридж HP CC654AE №901XL Black (O);Нет;1 130;;Картриджи;;Hewlett-Packard (HP);;;От производителя;700 стр.;Оригинальный;Черный (для цветных устройств);Для HP OfficeJet 4500/J4580/J4660/J4680;Картриджи;Струйная;;;;;;;;;;
00000004981;Струйный картридж HP CC656AE №901 Color (O);Нет;880;;Картриджи;;Hewlett-Packard (HP);;;От производителя;360 стр.;Оригинальный;Трехцветный картридж (Color);Для HP OfficeJet 4500/J4580/J4660/J4680;Картриджи;Струйная;;;;;;;;;;
00000004988;Струйный картридж HP C9403A №72 Matte Black (O);Нет;2 660;;Картриджи;;Hewlett-Packard (HP);;;От производителя;;Оригинальный;Черный (для цветных устройств);Для HP DesignJet T610/T620/T770/T1100/T1120/T1200/T2300;Картриджи;Струйная;;;;;;;;;;
00000005077;Струйный картридж HP C4841AE №10 Cyan (O);Нет;;;Картриджи;;Hewlett-Packard (HP);;;От производителя;1750 стр.;Оригинальный;Голубой (Cyan);Для HP Business InkJet 2000/2500 // HP DesignJet ColorPro CAD/GA;Картриджи;Струйная;;;;;;;;;;
00000006007;Струйный картридж HP CH565A №82 Black (O);Нет;;;Картриджи;;;;;;;;;;;;;;;;;;;;;
00000006010;Струйный картридж HP C8767HE №130 Black (O);Нет;;;Картриджи;;;;;;;;;;;;;;;;;;;;;
00000003483;Термопленка Panasonic KX-FA52A (O) (2 шт./уп.);Да;810;;Расходные материалы > Термопленки для факсов;;;;;;;;;;;;;;;;;;;;;
00000003484;Термопленка Panasonic KX-FA54A (O) (2 шт./уп.);Да;790;;Расходные материалы > Термопленки для факсов;;;;;;;;;;;;;;;;;;;;;
00000003485;Термопленка Panasonic KX-FA55A (O) (2 шт./уп.);Да;960;;Расходные материалы > Термопленки для факсов;;;;;;;;;;;;;;;;;;;;;
00000003874;Струйный картридж Brother LC1100C Cyan (O) (325 стр.);Нет;420;;Картриджи;;Brother;;;От производителя;325 стр.;Оригинальный;Голубой (Cyan);Для Brother DCP-383/385/387/395/585/6690CW/J615/J715 // Brother MFC-490/790/795/990CW/5490/5890/5895/6490/6890 ;Картриджи;Струйная;;;;;;;;;;
00000003875;Струйный картридж Brother LC1100Y Yellow (O) (325 стр.);Нет;420;;Картриджи;;Brother;;;От производителя;325 стр.;Оригинальный;Желтый (Yellow);Для Brother DCP-383/385/387/395/585/6690CW/J615/J715 // Brother MFC-490/790/795/990CW/5490/5890/5895/6490/6890 ;Картриджи;Струйная;;;;;;;;;;
00000003876;Струйный картридж Brother LC1100M Magenta (O) (325 стр.);Нет;430;;Картриджи;;Brother;;;От производителя;325 стр.;Оригинальный;Пурпурный (Magenta);Для Brother DCP-383/385/387/395/585/6690CW/J615/J715 // Brother MFC-490/790/795/990CW/5490/5890/5895/6490/6890 ;Картриджи;Струйная;;;;;;;;;;
00000003884;Струйный картридж Brother LC1100Bk Black (O) (450 стр.);Нет;750;;Картриджи;;Brother;;;От производителя;450 стр.;Оригинальный;Черный (для цветных устройств);Для Brother DCP-383/385/387/395/585/6690CW/J615/J715 // Brother MFC-490/790/795/990CW/5490/5890/5895/6490/6890 ;Картриджи;Струйная;;;;;;;;;;
00000000529;Драм-юнит Panasonic KX-FA84A (O);Да;3 600;;Драм-юниты;;Panasonic;;;От производителя;10000 стр.;Оригинальный;Черный (для монохромных устройств);Для Panasonic KX-FL511/512/513/540/541/543/611/612/613 // Panasonic KX-FLM651/652/653/663;Драм-юниты;Лазерная;;;;;;;;;;
00000001222;Драм-юнит Panasonic KX-FA86A (O);Да;3 580;;Драм-юниты;;Panasonic;;;От производителя;10000 стр.;Оригинальный;Черный (для монохромных устройств);Для Panasonic KX-FLB801/802/803/811/812/813/851/852/853/883;Драм-юниты;Лазерная;;;;;;;;;;
00000001371;Драм-юнит Panasonic KX-FAD89A (О);Да;3 730;;Драм-юниты;;Panasonic;;;От производителя;10000 стр.;Оригинальный;Черный (для монохромных устройств);Для Panasonic KX-FL403/413/423 // Panasonic KX-FLC411/412/413/418;Драм-юниты;Лазерная;;;;;;;;;;
00000001523;Драм-юнит Panasonic KX-FAD93A (O);Да;3 390;;Драм-юниты;;Panasonic;;;От производителя;6000 стр.;Оригинальный;Черный (для монохромных устройств);Для Panasonic KX-MB263/283/763/773/783;Драм-юниты;Лазерная;;;;;;;;;;
00000002119;Драм-юнит Panasonic KX-FAD412A (O);Да;3 440;;Драм-юниты;;Panasonic;;;От производителя;6000 стр.;Оригинальный;Черный (для монохромных устройств);Для Panasonic KX-MB1900/2000/2010/2020/2030/2051/2061;Драм-юниты;Лазерная;;;;;;;;;;
00000003938;Драм-юнит Panasonic KX-FA78A (O);Да;2 740;;Драм-юниты;;Panasonic;;;От производителя;6000 стр.;Оригинальный;Черный (для монохромных устройств);Для Panasonic KX-FL501/502/503/521/523 // Panasonic KX-FLB751/752/753/755/756/758 // Panasonic KX-FLM552/553/558;Драм-юниты;Лазерная;;;;;;;;;;
00000005835;Драм-юнит Panasonic KX-FAD412A (NVP);Нет;2 220;;Драм-юниты;;;;;;;;;;;;;;;;;;;;;
00000001354;Драм-юнит Brother DR-2075 (O);Да;3 040;;Драм-юниты;;Brother;;;От производителя;12000 стр.;Оригинальный;Черный (для монохромных устройств);Для Brother HL-2030R/2040R/2070NR // Brother DCP-7010R/7025R // Brother MFC-7225/7420R/7820NR // Brother FAX-2825R/2920R;Драм-юниты;Лазерная;;;;;;;;;;
00000001991;Драм-юнит Brother DR-2175 (O);Нет;2 750;;Драм-юниты;;Brother;;;От производителя;12000 стр.;Оригинальный;Черный (для монохромных устройств);Для Brother HL-2140R/2142R/2150NR/2170WR // Brother DCP-7030R/7032R/7040R/7045NR // Brother MFC-7320R/7440NR/7840WR;Драм-юниты;Лазерная;;;;;;;;;;
00000002216;Драм-юнит Brother DR-3100 (O);Нет;;;Драм-юниты;;Brother;;;От производителя;25000 стр.;Оригинальный;Черный (для монохромных устройств);Для Brother HL-5240/5250DN/5270DN/5280DW // МФУ Brother DCP-8060/8065DN // Brother MFC-8860DN;Драм-юниты;Лазерная;;;;;;;;;;
00000002220;Драм-юнит Brother DR-3200 (O);Да;5 470;;Драм-юниты;;Brother;;;От производителя;25000 стр.;Оригинальный;Черный (для монохромных устройств);Для Brother HL-5340D/5350DN/5370DW // МФУ Brother DCP-8070D/8085DN // Brother MFC-8370DN/8880DN/8890DW;Драм-юниты;Лазерная;;;;;;;;;;
00000002222;Драм-юнит Brother DR-2085 (O);Да;2 550;;Драм-юниты;;Brother;;;От производителя;12000 стр.;Оригинальный;Черный (для монохромных устройств);Для Brother HL-2035R;Драм-юниты;Лазерная;;;;;;;;;;
